profile-name,review-star-rating,review-body
JK Reviews,5.0 out of 5 stars,"
  I got my new MacBook Pro M1 two weeks ago and could not be more happy with it. This machine is absolutely incredible in terms of speed, looks, weight/size, display, and battery life - and texture (it feels so good against the skin on my wrists as I type) and basically anything else you can think of. I also love the space gray color, the new keyboard, the Touch Bar, and the larger trackpad. There are so many options to customize the system to work just the way I like.,My previous MacBook was the 2011 model and it still works today, but after 10 years it became too slow and the trackpad had trouble clicking, so after a TON of research, I decided to pull the trigger and get the New MacBook Pro with the M1 chip.,A couple suggestions I am able to give after spending almost two months and probably over 30 hours researching the new MacBook are: go with the standard model of 8gb of RAM and the 256 ssd - you can get this on Amazon for $1239 vs $1299 at Apple - so you get to save 60 bucks, and you have the added satisfaction of not having to deal with the snobby nerd losers that work in the Apple Store, who asked me rudely when I went in to get a new laptop ""umm, do you have an appointment? Well, you're going to have to make an appointment if you want to go in the store"". I love Apple products and will never use another phone or computer besides the iPhone and MacBook, but after that experience I will never again give my business to the physical Apple Stores. I mean, seriously, do you really need me to make an appointment to buy a $1300 laptop? Whatever dude.,Anyway, in several YouTube videos that compared the 8GB ram model along side the 16GB ram model (costs 200 bucks more), the 8GB performed just as well in nearly every task - and they really pushed it to the limits. The only reason to pay up for the 16GB RAM is if you want to edit 8K UHD videos or are a super serious music recording artist or highly advanced professional photographer - and even then it's not too much of a difference. For the every day user (me or basically anyone who is not a computer professional) the 8GB working with this new M1 chip is mind-blowing, blows any other laptop on the market completely out of the water, and actually even performs just as well as the $2200 15 inch MacBook Pro using the Intel chip. As far as the storage goes, 256 ssd is standard - that's what I got - and you can pay 200 bucks more for 512 ssd or 400 bucks more for 1 TB. But with the Cloud storage available now, you don't really need to keep much on the laptop drive, you can just save it to the cloud.,Overall I honestly could go on for hours about every little detail that I absolutely love about this machine. A free one year subscription to Apple TV is also another little perk. But I am still mystified every day at how incredible this machine is. I've been online for over 3 hours now and its still on 92% battery. The new Retina display is brilliant. Everything is perfect. I truly am in love this laptop and would recommend that anyone looking for a new laptop to last a long time and outperform everything else on the market gets the new matchbook 13 inch M1.
"
AP,5.0 out of 5 stars,"
  I bought my Mac from Apple directly not from Amazon. This thing is amazing. Battery life is awesome. Hard to believe that I can work with it all day and do not have to charge at all even with bright screen.,No issues with speed at all. I use Matlab a lot and this computer is even slightly faster than my desktop with 12 core AMD CPU and 32 GB ram.,Excellent machine. Happy I bought it.
"
Westmark Consulting,5.0 out of 5 stars,"
  I own over 50 computers and it blows away my 11th gen Dell XPS 13 i7, My surface Book 3, my Ryzen 7 Thinkpad. the first week I got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. I felt guilty and charged it. The Geekbench 5 rating beat all those listed laptops and they had 16 or 32GB of memory and the MacBook Pro M1 had only 8GB of unified memory. The keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all I did. I'm an IT consultant and deal in Windows based databases and this Mac has now become my daily go to system at home. It has become my new front end.
"
Ancestor Hunter,5.0 out of 5 stars,"
  It's a Mac once you go Mac you never go back. This is my second Mac my first lasted almost 9 years.
"
Targaryen,2.0 out of 5 stars,"
  Everyone says the new Apple Macbook with an M-1 chip is wonderful. However, I would say something different.,For the Macbook pro with an M1 chip, I spent almost twice the price but got the same performance as MacBook air. The only 2 differences are the fan and the touch bar(it's useless).,Secondly, would be quality. Once a time I put on the interface, the MacBook turns off itself. I don't know what happened but I'm pretty sure this kind of problem should not happen in a computer at such a price.,Also, I miss the MagSafe...
"
Me2,1.0 out of 5 stars,"
  Dead at arrival.... kernel error. Took it to the Apple store they told me looks like a hardware failure and to send it back to Amazon.
"
Kurt Luce,5.0 out of 5 stars,"
  I'm going to preface this review with the 1 thing I dislike so we can get that out of the way.,I mean let's be honest, that's what most people are looking for when buying a product-the down sides.,It has a standard 3.5mm headphone jack EVEN THOUGH apple quit using that on it's handheld products years ago.,Not that I care, it's good that they include the 3.5mm jack-but how come they didn't include one for their lightning connector that their headphones come in out of the box? Forces you to either change to a standard headphone jack or BT headphones (probably trying to push their AirPods line).,Other than that, I have no issues. It's fast, efficient, reliable and easy to use. If your familiar with iOS on these then it'll be a great addition to the tech team you have at home.
"
Judy N,5.0 out of 5 stars,"
  I love my new MacBook Pro!!  It’s the 13” and not too small. It’s very lightweight!  It’s so fast!  I was using an older MacBook Pro from mid 2012. It worked well, just so slow. This one flies!!  I was disappointed that there are no USB ports or CD player. I spent about $65 at Best Buy and got an adapter that works very well!!!
"
Steve,1.0 out of 5 stars,"
  The battery lasts forever and its fast. My last macbook had a pretty good battery and worked very well for years too.,The M1 does allow for dual external monitors and there are two usbc ports total. These two things can be worked around with dongles and a video hub but now I have $200 worth of accessories and a tangled mess on my desk.,How is a 2020 Mac not compatible with dual monitors but my 2005 HP works great with the same monitor setup?!? I really can't get past that.,Get the intel version with 4 USB ports and you can use it in your Covid home office out of the box.
"
Amazon Customer,1.0 out of 5 stars,"
  There is no fix for this, and now it can't be returned.  All that money wasted!!! There is a vertical black line on the screen.  I tried to fix it using tips from youtube videos and none of it worked.  Proceed with caution!
"
chris kaffer,2.0 out of 5 stars,"
  I am an Apple guy. I converted from PC ~ 2008 and have loved every apple device until the IPhone X and the new Macbook with M1 chip. Where to start? First, as is a major complaint for everyone, the Macbook pro has all of two ports (yes yes, I know, this was listed in the specs. It doesn't make it ok). If I need to be plugged in, I have 1 port remaining. It is incredibly idiotic that I have to buy a dock to expand my ports. Oh and the ports are only Thunderbolt in Apple's continuing stupidity of forcing the market to adopt its garbage. I did not buy a Mac Air for a reason, yet the Macbook pro comes with all the limitations of an Air. The new charging cable lacking magnetic attachment makes zero sense. The track pad is beyond finicky to the point of being useless. I have no bluetooth connectivity. I get incessant windows telling me to log into podcasts or apple music. I see zero performance improvements with the M1chip. In fact, doing a side-by-side video recording with Quicktime (all parameters equalized) I have a severe lag with M1 Mac, but not with the Intel driven machine. And the touch bar is about the worst idea ever. I constantly dim the back light, or go back on web pages because of it. Absolute trash. I bought this computer for work and will be designating it as a laptop for our interns, because that's how terrible it is. I will not be duped into replacing this hunk of garbage with the forthcoming Macbook Pro in which the port and charging issues have been fixed.,So now begins the massive switching costs for foolishly demonstrating brand loyalty to a company who has none for its customers.
"
